Country;Attribute;Covid_Stringency
Nicaragua;2021;9,150684932
Nicaragua;2022;12,38194521
Niger;2020;24,09439227
Niger;2021;26,53443836
Niger;2022;13,67947945
Nigeria;2020;55,71345304
Nigeria;2021;46,09194521
Nigeria;2022;21,10780822
Norway;2020;42,18707182
Norway;2021;50,34126027
Norway;2022;14,80624658
Oman;2020;64,16320442
Oman;2021;56,82715068
Oman;2022;18,52756164
Pakistan;2020;55,10848066
Pakistan;2021;57,80989041
Pakistan;2022;44,44375342
Palestine;2020;67,00964088
Palestine;2021;70,87958904
Palestine;2022;17,80753425
Panama;2020;64,42480663
Panama;2021;66,1599726
Panama;2022;20,00553425
Papua New Guinea;2020;44,94720994
Papua New Guinea;2021;57,25624658
Papua New Guinea;2022;33,88632877
Paraguay;2020;62,95690608
Paraguay;2021;49,0149863
Paraguay;2022;19,7049863
Peru;2020;68,11895028
Peru;2021;63,22873973
Peru;2022;30,20408219
Philippines;2020;66,55638122
Philippines;2021;72,81282192
Philippines;2022;36,78364384
Poland;2020;48,80157459
Poland;2021;53,05386301
Poland;2022;18,03156164
Portugal;2020;54,84776243
Portugal;2021;60,15832877
Portugal;2022;16,66419178
Qatar;2020;61,65983425
Qatar;2021;63,3339726
Qatar;2022;33,12789041
Romania;2020;52,38337017
Romania;2021;62,24816438
Romania;2022;18,89079452
Russia;2020;48,19997238
Russia;2021;46,46487671
Russia;2022;29,49471233
Rwanda;2020;61,69160221
Rwanda;2021;60,95657534
Rwanda;2022;39,18942466
San Marino;2020;42,09618785
San Marino;2021;52,4389863
San Marino;2022;15,24227397
Saudi Arabia;2020;57,84643646
Saudi Arabia;2021;53,47643836
Saudi Arabia;2022;25,99139726
Senegal;2020;41,53665746
Senegal;2021;24,90279452
Senegal;2022;13,89
Serbia;2020;49,94220994
Serbia;2021;44,48446575
Serbia;2022;18,06621918
Seychelles;2020;32,22375691
Seychelles;2021;70,92282192
Seychelles;2022;35,38331507
Sierra Leone;2020;36,24428177
Sierra Leone;2021;50,26065753
Sierra Leone;2022;42,10942466
Singapore;2020;51,94444751
Singapore;2021;49,17161644
Singapore;2022;30,07717808
Slovakia;2020;46,00870166
Slovakia;2021;52,95276712
Slovakia;2022;18,4630411
Slovenia;2020;50,57093923
Slovenia;2021;54,59109589
Slovenia;2022;17,10843836
Solomon Islands;2020;31,47450276
Solomon Islands;2021;29,71021918
Solomon Islands;2022;48,84142466
Somalia;2020;35,04207182
Somalia;2021;35,55463014
Somalia;2022;19,42810959
South Africa;2020;55,09024862
South Africa;2021;52,71443836
